 Peopleid,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year
14249,10,52000,year,"Atlanta, GA, US",Intern,,11-15,,,,,,3,26-30,Male,No,,,,2020-04-01,2020
14247,7,155000,year,"Los Angeles, CA, US",Associate,Corporate,201-500,Yes,,,"15,000",Full-time,11-15,41-45,Male,Licensed,University of Illinois at Urbana-Champaign,,,2020-04-01,2020
14246,7,55000,year,"Columbus, OH, US",Job Captain,Corporate,51-100,Yes,No Overtime,15.0,,Full-time,3-5,26-30,Male,No,The Ohio State University,,,2020-04-01,2020
14242,7,55000,year,"Dallas, TX, US",Junior Architect,Corporate,501+,Yes,Unpaid Overtime,17.0,"2,800",Full-time,3,26-30,Male,Licensed,,,,2020-04-01,2020
14241,10,110000,year,"Phoenix, AZ, US",Principal,Corporate,501+,Yes,Unpaid Overtime,21.0,"10,000",Full-time,11-15,36-40,Male,Licensed,,,,2020-04-01,2020
14240,6,50000,year,"Atlanta, GA, US",Intern,,201-500,Yes,Unpaid Overtime,10.0,"2,000",Full-time,2,21-25,Female,No,Georgia Institute of Technology (Georgia Tech),,,2020-04-01,2020
14239,7,63000,year,"New York, NY, US",Designer,Boutique,6-10,Yes,Unpaid Overtime,12.0,"5,000",Full-time,3-5,26-30,Female,No,The University of Oklahoma,The New School,,2020-04-01,2020
14237,8,72000,year,"Los Angeles, CA, US",Intermediate Designer,Corporate,501+,Yes,Paid Overtime,10.0,,Full-time,3-5,31-35,Male,No,Southern California Institute of Architecture (SCI-Arc),,,2020-04-01,2020
14236,6,76000,year,"Scranton, PA, US",Project Manager,Corporate,31-50,Yes,,20.0,"2,500",Full-time,16-20,36-40,Male,Licensed,Johnson College,,,2020-04-01,2020
14233,10,120000,year,"San Francisco, CA, US",Principal,Boutique,2-5,Yes,No Overtime,10.0,,Full-time,16-20,46-50,Male,Licensed,Stanford University,"University of California, Berkeley",,2020-03-01,2020
14231,8,150000,year,"New York, NY, US",Project Manager,Corporate,101-200,Yes,Unpaid Overtime,15.0,"20,000",Full-time,6-7,31-35,Male,No,City College of New York (CCNY),,,2020-03-01,2020
14228,7,66000,year,"New York, NY, US",Designer,Boutique,2-5,,No Overtime,10.0,"2,000",Full-time,3-5,26-30,Male,No,,University at Buffalo,,2020-03-01,2020
14227,8,83000,year,"San Francisco, CA, US",Designer,Other,31-50,Yes,No Overtime,15.0,"10,000",Full-time,6-7,36-40,Male,No,Concordia University,California College of the Arts,,2020-03-01,2020
14226,3,55000,year,"New York, NY, US",Project Architect,,2-5,,,,,,3,36-40,Female,No,,,,2020-03-01,2020
14222,4,58000,year,"New York, NY, US",Junior Architect,,31-50,Yes,Paid Overtime,20.0,"5,000",Full-time,1,21-25,Female,No,Syracuse University,,,2020-03-01,2020
14221,9,90000,year,"Sausalito, CA, US",Designer,Boutique,11-15,Yes,Unpaid Overtime,10.0,"1,000",,8-10,31-35,Male,No,,,,2020-03-01,2020
14220,7,55000,year,"Columbus, OH, US",Job Captain,Corporate,51-100,Yes,No Overtime,15.0,,Full-time,3-5,26-30,Male,No,The Ohio State University,,,2020-03-01,2020
14219,7,55000,year,"Lake Charles, LA, US",Designer,Boutique,6-10,Yes,No Overtime,7.0,,Full-time,3,26-30,Male,No,Lousiana Tech University,Southern California Institute of Architecture (SCI-Arc),,2020-03-01,2020
14218,7,96000,year,"Dallas, TX, US",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,10.0,"2,000",Full-time,16-20,41-45,Male,Licensed,,,,2020-03-01,2020
14217,7,63000,year,"Minneapolis, MN, US",Job Captain,Boutique,101-200,Yes,Paid Overtime,14.0,"8,000",Full-time,3-5,26-30,Male,No,North Dakota State University,North Dakota State University,,2020-03-01,2020
14215,4,37440,hour,"Grand Rapids, MI, US",Associate,Individual,2-5,Yes,No Overtime,10.0,,Full-time,2,21-25,Female,No,University of Michigan,,,2020-03-01,2020
14214,6,85000,year,"New York, NY, US",Project Architect,Boutique,2-5,Yes,Unpaid Overtime,15.0,,Full-time,11-15,46-50,Female,Licensed,Pratt Institute,,,2020-03-01,2020
14213,7,60000,year,"New York, NY, US",Project Manager,Boutique,2-5,Yes,No Overtime,15.0,"8,000",Full-time,6-7,26-30,Male,No,University of Florida,,,2020-03-01,2020
14212,7,67898,year,"Minneapolis, MN, US",Junior Designer,Corporate,201-500,Yes,Paid Overtime,12.0,500,Full-time,6-7,21-25,Male,No,University of Minnesota,,,2020-03-01,2020
14209,7,105000,year,"New York, NY, US",Senior Architect,Boutique,6-10,Yes,Paid Overtime,10.0,,Full-time,11-15,36-40,Male,Licensed,North Carolina A&T State Univ.,Oxford Brookes University,,2020-03-01,2020
14207,7,88000,year,"New York, NY, US",Project Manager,Corporate,101-200,Yes,Unpaid Overtime,18.0,"3,000",Full-time,6-7,31-35,Male,No,,Cornell University,,2020-03-01,2020
14205,7,47840,hour,"New York, NY, US",Intern,Individual,31-50,,Unpaid Overtime,,,Full-time,2,21-25,Female,No,University of Waterloo,,,2020-03-01,2020
14204,6,95000,year,"New York, NY, US",Senior Architect,,6-10,,,,,,21-25,46-50,Male,No,,,,2020-03-01,2020
14203,8,85000,year,"Seattle, WA, US",Project Architect,Individual,31-50,Yes,No Overtime,10.0,"4,000",Full-time,3-5,41-45,Male,Licensed,Middlebury College,University of Oregon,,2020-03-01,2020
14202,7,80000,year,"New York, NY, US",Associate,Corporate,101-200,Yes,Unpaid Overtime,15.0,"9,000",Full-time,6-7,31-35,Male,Licensed,Massachussets College of Art and Design,Washington University in St. Louis,,2020-03-01,2020
14201,7,60000,year,"New York, NY, US",Junior Architect,Corporate,51-100,Yes,Paid Overtime,15.0,,Full-time,1,21-25,Female,No,Washington University in St. Louis,Columbia University,,2020-03-01,2020
14200,8,42000,year,"Cambridge, MA, US",Designer,Other,2-5,,No Overtime,10.0,,Full-time,2,21-25,Male,No,Wentworth Institute of Technology,,,2020-03-01,2020
14199,4,68000,year,"East Hampton, NY, US",Junior Architect,Boutique,11-15,Yes,,10.0,"2,000",Full-time,3-5,26-30,Male,No,,,,2020-03-01,2020
14197,9,65000,year,"Charlotte, NC, US",Project Architect,Boutique,16-30,Yes,No Overtime,15.0,"4,000",Full-time,3-5,26-30,Male,Licensed,East Carolina University,University of North Carolina at Charlotte,,2020-03-01,2020
14194,9,59000,year,"Annapolis, MD, US",Project Architect,,16-30,,,,,,3-5,26-30,Female,No,,,,2020-03-01,2020
14193,3,72000,year,"San Francisco, CA, US",Associate,Corporate,51-100,Yes,Unpaid Overtime,12.0,,Full-time,6-7,36-40,Male,No,,"University of California, Berkeley",,2020-03-01,2020
14191,6,55000,year,"Richmond, VA, US",Junior Designer,Corporate,201-500,Yes,Unpaid Overtime,10.0,"2,000",Full-time,3,26-30,Male,No,University of Virginia,University of Virginia,,2020-02-01,2020
14189,5,62400,hour,"Sacramento, CA, US",Junior Architect,Corporate,51-100,Yes,Paid Overtime,12.0,"2,000",Full-time,3,26-30,Female,No,,,,2020-02-01,2020
14184,7,37440,hour,"Washington, DC, US",Intern,Individual,1,,Unpaid Overtime,,,Full-time,< 1,21-25,Male,No,Cornell University,,,2020-02-01,2020
14183,5,42000,year,"Princeton, NJ, US",Designer,Boutique,11-15,Yes,Unpaid Overtime,,"1,000",Full-time,1,21-25,Female,No,Norwich University,,,2020-02-01,2020
14182,8,49920,hour,"Somerville, NJ, US",Designer,Other,31-50,Yes,Paid Overtime,,,Full-time,1,21-25,Female,No,Norwich University,,,2020-02-01,2020
14181,7,74880,year,"Irvine, CA, US",Project Manager,,6-10,Yes,Paid Overtime,15.0,,Full-time,8-10,31-35,Female,No,"California State Polytechnic University, Pomona",,,2020-02-01,2020
14180,7,64480,year,"Irvine, CA, US",Intermediate Designer,,6-10,Yes,Paid Overtime,10.0,,Full-time,6-7,31-35,Female,No,"California State Polytechnic University, Pomona",,,2020-02-01,2020
14179,7,70000,year,"New York, NY, US",Junior Architect,Corporate,101-200,Yes,No Overtime,25.0,,Full-time,1,21-25,Female,No,Cornell University,,,2020-02-01,2020
14178,7,55000,year,"New York, NY, US",Junior Architect,Starchitect,51-100,Yes,Unpaid Overtime,15.0,,Full-time,1,21-25,Female,No,Cornell University,,,2020-02-01,2020
14177,7,95000,year,"New York, NY, US",Senior Designer,Corporate,101-200,Yes,No Overtime,15.0,"15,000",Full-time,3-5,26-30,Male,No,,Harvard University,,2020-02-01,2020
14176,7,75000,year,"Portland, OR, US",Job Captain,Corporate,101-200,Yes,No Overtime,24.0,"5,000",Full-time,6-7,36-40,Male,Licensed,,,,2020-02-01,2020
14175,7,49900,year,"Brighton, MI, US",Designer,Corporate,101-200,Yes,Paid Overtime,15.0,,Full-time,< 1,21-25,Female,No,Michigan State University,,,2020-02-01,2020
14173,5,55000,year,"New York, NY, US",Junior Designer,Corporate,201-500,Yes,Unpaid Overtime,10.0,250,,< 1,21-25,Female,No,,,,2020-02-01,2020
14169,8,62000,year,"Los Angeles, CA, US",Designer,Other,101-200,Yes,Unpaid Overtime,20.0,"4,000",Full-time,2,26-30,Male,No,,"University of California, Los Angeles (UCLA)",,2020-02-01,2020
14167,8,58000,year,"Fort Worth, TX, US",Landscape Architect,Corporate,201-500,Yes,Paid Overtime,14.0,"10,000",Full-time,2,26-30,Male,No,,The University of Texas at Arlington,,2020-02-01,2020
14165,6,58000,year,"Phoenix, AZ, US",Senior Designer,Corporate,51-100,Yes,Paid Overtime,20.0,"2,000",Full-time,6-7,31-35,Female,No,,University of Arizona,,2020-02-01,2020
14163,5,150000,year,"Irvine, CA, US",Principal,Corporate,101-200,Yes,Unpaid Overtime,15.0,,Full-time,16-20,41-45,Male,No,,,,2020-02-01,2020
14161,7,98000,year,"New York, NY, US",Interior Architect,Corporate,201-500,Yes,Unpaid Overtime,20.0,,Full-time,11-15,36-40,Female,No,Polytechnic University of Puerto Rico (PUPR),Pratt Institute,,2020-02-01,2020
14160,8,110000,year,"Philadelphia, PA, US",Associate,Other,51-100,Yes,,23.0,"10,000",Full-time,11-15,36-40,Male,Licensed,,,,2020-02-01,2020
14159,4,102000,year,"Pittsburgh, PA, US",Senior Designer,Corporate,31-50,Yes,Unpaid Overtime,20.0,4,Full-time,31-40,66-70,Male,Licensed,University of Michigan,Yale University,,2020-02-01,2020
14158,6,53000,year,"Fort Lauderdale, FL, US",Designer,,101-200,Yes,,,"2,000",Full-time,3,26-30,Male,No,The Pennsylvania State University (Penn State),,,2020-02-01,2020
14157,4,60320,hour,"Portland, OR, US",Associate,Other,16-30,Yes,Paid Overtime,10.0,,Full-time,6-7,26-30,Female,No,University of Oregon,,,2020-02-01,2020
14156,1,88000,year,"Seattle, WA, US",Project Manager,Other,2-5,Yes,Unpaid Overtime,14.0,"1,500",Full-time,6-7,41-45,Female,No,University of Southern California (USC),University of Washington,,2020-02-01,2020
14155,8,45000,year,"New Orleans, LA, US",Junior Designer,Corporate,51-100,Yes,No Overtime,15.0,"2,000",Full-time,1,26-30,Male,No,,Washington University in St. Louis,,2020-02-01,2020
14154,6,58000,year,"Philadelphia, PA, US",Designer,Starchitect,51-100,Yes,Unpaid Overtime,8.0,"2,000",Full-time,1,26-30,Female,No,University of Pennsylvania,University of Pennsylvania,,2020-02-01,2020
14153,5,105000,year,"New York, NY, US",Project Architect,Starchitect,101-200,Yes,Unpaid Overtime,,,Full-time,8-10,31-35,Male,Licensed,,,,2020-02-01,2020
14152,8,56000,year,"Philadelphia, PA, US",Designer,,51-100,Yes,Unpaid Overtime,15.0,"2,000",Full-time,2,26-30,Female,No,,,,2020-02-01,2020
14151,7,68000,year,"New York, NY, US",Junior Designer,Boutique,2-5,Yes,Unpaid Overtime,15.0,"4,000",Full-time,6-7,26-30,Female,No,,,,2020-02-01,2020
14150,7,55000,year,"Philadelphia, PA, US",Designer,Corporate,201-500,Yes,Unpaid Overtime,17.0,,Full-time,1,31-35,Female,No,,University of Pennsylvania,,2020-02-01,2020
14149,3,52000,year,"New York, US",Junior Designer,Boutique,6-10,,Unpaid Overtime,10.0,,Full-time,3-5,36-40,Female,No,,,,2020-02-01,2020
14148,7,56000,year,"Sacramento, CA, US",Landscape Architect,,31-50,Yes,Paid Overtime,24.0,"2,000",,3,26-30,Female,No,Iowa State University,,,2020-02-01,2020
14147,7,52000,year,"Phoenix, AZ, US",Landscape Architect,Corporate,501+,Yes,No Overtime,10.0,"2,000",Full-time,3-5,26-30,Female,No,,,,2020-02-01,2020
14145,7,55000,year,"Houston, TX, US",Junior Architect,Other,101-200,Yes,Unpaid Overtime,10.0,"4,000",Full-time,3-5,26-30,Female,No,University of Houston,,,2020-02-01,2020
14144,3,55000,year,"Seattle, WA, US",Designer,,11-15,Yes,Paid Overtime,10.0,"5,000",Full-time,2,21-25,Female,No,,,,2020-02-01,2020
14143,7,87000,year,"Minneapolis, MN, US",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,18.0,"4,500",Full-time,6-7,31-35,Female,Licensed,,,,2020-02-01,2020
14142,5,58000,year,"Seattle, WA, US",Designer,Boutique,16-30,Yes,No Overtime,14.0,,Full-time,3-5,31-35,Male,No,Temple University,Southern California Institute of Architecture (SCI-Arc),,2020-02-01,2020
14140,7,84000,year,"San Francisco, CA, US",Intermediate Designer,Corporate,51-100,Yes,Unpaid Overtime,15.0,"4,000",Full-time,6-7,31-35,Female,No,,,,2020-02-01,2020
14139,9,68250,year,"Anaheim, CA, US",Associate,Corporate,31-50,Yes,Unpaid Overtime,19.0,,Full-time,2,26-30,Female,No,Clemson University,"University of California, Los Angeles (UCLA)",,2020-02-01,2020
14138,7,52000,year,"Chicago, IL, US",Project Manager,Corporate,101-200,Yes,Unpaid Overtime,20.0,"3,500",Full-time,6-7,31-35,Female,No,University of Michigan,,,2020-02-01,2020
14136,7,105000,year,"New York, NY, US",Project Manager,Corporate,51-100,Yes,No Overtime,10.0,"2,000",Full-time,8-10,31-35,Male,Licensed,,City College of New York (CCNY),,2020-02-01,2020
14135,10,70000,year,"Portland, ME, US",Senior Architect,Boutique,51-100,Yes,No Overtime,15.0,"3,000",Full-time,11-15,31-35,Male,Licensed,Northeastern University,Northeastern University,,2020-02-01,2020
14134,9,77000,year,"New York, NY, US",Project Architect,Other,501+,Yes,Paid Overtime,15.0,,Full-time,6-7,26-30,Female,Licensed,,City College of New York (CCNY),,2020-02-01,2020
14133,7,82000,year,"Portland, OR, US",Project Architect,,51-100,Yes,,15.0,"5,000",Full-time,8-10,31-35,Male,Licensed,,,,2020-02-01,2020
14132,9,76000,year,"San Antonio, TX, US",Associate,,16-30,Yes,Unpaid Overtime,15.0,"10,000",Full-time,8-10,31-35,Male,Licensed,,The University of Texas at Austin,,2020-02-01,2020
14131,8,60000,year,"New York, NY, US",Junior Architect,,16-30,,,,,,3-5,26-30,Male,No,,,,2020-02-01,2020
14130,9,65000,year,"Chicago, IL, US",Project Architect,Boutique,16-30,Yes,Paid Overtime,15.0,"1,000",Full-time,6-7,31-35,Male,Licensed,California College of the Arts,,,2020-02-01,2020
14129,8,63000,year,"Seattle, WA, US",Designer,Starchitect,16-30,,No Overtime,21.0,250,Full-time,2,31-35,Male,No,Baylor University,,,2020-02-01,2020
14128,7,62500,year,"Elmsford, NY, US",CAD Manager,Other,11-15,Yes,Unpaid Overtime,15.0,"1,500",Full-time,11-15,26-30,Male,No,,,,2020-02-01,2020
14127,6,90000,year,"San Francisco, CA, US",Project Architect,Corporate,16-30,Yes,Paid Overtime,10.0,"3,500",Full-time,3-5,26-30,Female,Licensed,,,,2020-02-01,2020
14126,5,68000,year,"New Orleans, LA, US",Junior Architect,Boutique,16-30,Yes,Unpaid Overtime,10.0,"5,000",Full-time,3,21-25,Male,Licensed,Louisiana State University,,,2020-02-01,2020
14124,4,114000,year,"New York, NY, US",Senior Architect,Boutique,6-10,Yes,No Overtime,10.0,,Full-time,21-25,46-50,Male,No,,,,2020-02-01,2020
14115,7,74000,year,"Boston, MA, US",Project Architect,Other,16-30,Yes,Unpaid Overtime,15.0,"2,000",Full-time,3-5,26-30,Male,Licensed,,,,2020-02-01,2020
14114,10,110000,year,"San Francisco, CA, US",Project Architect,Corporate,51-100,Yes,Unpaid Overtime,25.0,"10,000",Full-time,6-7,31-35,Male,Licensed,,,,2020-02-01,2020
14113,6,86000,year,"New York, NY, US",Job Captain,Boutique,51-100,Yes,Unpaid Overtime,10.0,"2,500",Full-time,8-10,31-35,Male,Licensed,New Jersey Institute of Technology (NJIT),,,2020-02-01,2020
14112,8,75000,year,"Washington, DC, US",Designer,Corporate,201-500,Yes,Unpaid Overtime,20.0,"7,000",Full-time,6-7,31-35,Male,No,,University of Michigan,,2020-01-01,2020
14111,8,43000,year,"Louisville, KY, US",Associate,Boutique,2-5,Yes,Unpaid Overtime,10.0,750,Full-time,1,26-30,Male,No,University of Wisconsin–Madison,University of Wisconsin-Milwaukee,,2020-01-01,2020
14110,8,140000,year,"Oakland, CA, US",Senior Architect,Corporate,501+,Yes,,21.0,"5,000",Full-time,26-30,61-65,Male,Licensed,UC Berkeley CED,,,2020-01-01,2020
14109,6,47840,hour,"Ann Arbor, MI, US",Designer,Other,6-10,Yes,Paid Overtime,10.0,,Full-time,3-5,26-30,Male,No,University of Michigan,University of Michigan,,2020-01-01,2020
14105,8,67500,year,"Arlington, VA, US",Intermediate Architect,Corporate,501+,Yes,Unpaid Overtime,15.0,,Full-time,6-7,26-30,Female,Licensed,Oklahoma State University,,,2020-01-01,2020
14103,8,62000,year,"New York, NY, US",Project Manager,Boutique,6-10,Yes,No Overtime,10.0,"9,000",Full-time,3-5,26-30,Female,Licensed,City College of New York (CCNY),,,2020-01-01,2020
14102,3,70000,year,"Philadelphia, PA, US",Project Manager,,6-10,Yes,Unpaid Overtime,10.0,,Full-time,16-20,41-45,Female,Licensed,,,,2020-01-01,2020
14100,8,50000,year,"Roanoke, VA, US",Designer,Corporate,501+,Yes,Paid Overtime,15.0,0,Full-time,1,21-25,Male,No,,Virginia Polytechnic Institute and State University (Virginia Tech),,2020-01-01,2020
14099,7,62000,year,"New York, NY, US",Intermediate Designer,Boutique,2-5,Yes,Unpaid Overtime,10.0,"2,500",,3-5,26-30,Female,No,,Harvard University,,2020-01-01,2020
14097,4,98000,year,"New York, NY, US",Technical Architect,Corporate,101-200,Yes,Unpaid Overtime,10.0,"2,000",Full-time,11-15,31-35,Male,No,Wentworth Institute of Technology,Pratt Institute,,2020-01-01,2020
14096,7,88000,year,"New York, NY, US",Project Architect,Boutique,31-50,Yes,Unpaid Overtime,18.0,"8,000",Full-time,11-15,36-40,Female,Licensed,,,,2020-01-01,2020
14095,8,45000,year,"Orlando, FL, US",Junior Architect,Corporate,201-500,Yes,Paid Overtime,16.0,,Full-time,3,26-30,Female,No,,Florida International University,,2020-01-01,2020
14094,7,80000,year,"Minneapolis, MN, US",Project Architect,Boutique,16-30,Yes,Unpaid Overtime,20.0,"5,000",Full-time,6-7,31-35,Male,Licensed,,,,2020-01-01,2020
14093,8,78000,year,"New York, NY, US",Intermediate Designer,Other,31-50,Yes,Unpaid Overtime,15.0,"5,000",Full-time,3-5,26-30,Male,No,Illinois Institute of Technology (IIT),Columbia University,,2020-01-01,2020
14092,6,62500,year,"New York, NY, US",Junior Architect,Corporate,101-200,Yes,No Overtime,15.0,"4,500",Full-time,3-5,26-30,Male,Licensed,University of Cincinnati,Cornell University,,2020-01-01,2020
14091,5,92000,year,"San Francisco, CA, US",Junior Architect,,501+,Yes,,,,,8-10,31-35,Male,Licensed,,,,2020-01-01,2020
14090,5,60000,year,"Los Angeles, CA, US",Designer,Boutique,11-15,Yes,No Overtime,10.0,,Full-time,3-5,26-30,Male,No,"California Polytechnic State University, San Luis Obispo",,,2020-01-01,2020
14089,8,42000,year,"Baton Rouge, LA, US",Designer,,11-15,Yes,,15.0,,Full-time,2,21-25,Female,No,,,,2020-01-01,2020
14088,9,59000,year,"Austin, TX, US",Designer,Corporate,501+,Yes,Unpaid Overtime,15.0,"1,000",Full-time,2,26-30,Male,No,Roger Williams University,University of Michigan,,2020-01-01,2020
14087,1,95000,year,"Los Angeles, CA, US",Project Manager,Starchitect,101-200,Yes,Unpaid Overtime,10.0,,Full-time,8-10,31-35,Female,No,,,,2020-01-01,2020
14086,8,44000,year,"Charlotte, NC, US",Intern,Individual,16-30,Yes,Paid Overtime,14.0,"1,000",Full-time,2,21-25,Male,No,University of Nebraska-Lincoln,University of North Carolina at Charlotte,,2020-01-01,2020
14083,4,54500,year,"Seattle, WA, US",Intern,Other,11-15,,Paid Overtime,10.0,"4,000",Full-time,2,21-25,Female,No,,,,2020-01-01,2020
14081,7,67000,year,"Minneapolis, MN, US",Project Architect,,51-100,,,,,,8-10,36-40,Male,No,,,,2020-01-01,2020
14080,7,78000,year,"Austin, TX, US",Project Manager,Corporate,31-50,Yes,Unpaid Overtime,10.0,"6,500",Full-time,8-10,31-35,Male,Licensed,The University of Texas at Arlington,The University of Texas at Arlington,,2020-01-01,2020
14079,8,75000,year,"Grand Rapids, MI, US",Project Manager,Corporate,201-500,Yes,Unpaid Overtime,20.0,"20,000",Full-time,3-5,31-35,Male,No,Lawrence Technological University,University of Michigan,,2020-01-01,2020
14078,4,29120,hour,"Chantilly, VA, US",Intern,Individual,6-10,,No Overtime,10.0,500,Full-time,1,21-25,Female,No,University of the District of Columbia,University of the District of Columbia,,2020-01-01,2020
14077,3,41600,hour,"Alexandria, VA, US",Intern,Individual,2-5,Yes,No Overtime,10.0,,Full-time,< 1,21-25,Male,Licensed,The Catholic University of America,,,2020-01-01,2020
14076,4,33280,hour,"Chantilly, VA, US",Intern,Individual,6-10,Yes,Paid Overtime,10.0,500,Full-time,3,26-30,Male,Licensed,The Catholic University of America,University of the District of Columbia,,2020-01-01,2020
14075,7,85000,year,"New York, NY, US",Senior Designer,Boutique,2-5,,No Overtime,14.0,"2,000",Full-time,6-7,31-35,Male,No,City College of New York (CCNY),,,2020-01-01,2020
14074,7,54500,year,"Tacoma, WA, US",Intern,,51-100,Yes,Unpaid Overtime,12.0,"4,600",Full-time,3,31-35,Female,No,,,,2020-01-01,2020
14073,9,69000,year,"San Francisco, CA, US",Designer,Boutique,31-50,Yes,No Overtime,15.0,"5,000",Full-time,3-5,26-30,Female,No,"California Polytechnic State University, San Luis Obispo",,,2020-01-01,2020
14072,10,62400,hour,"Leavenworth, WA, US",Designer,,6-10,Yes,No Overtime,12.0,"2,000",Full-time,3-5,26-30,Female,No,Washington State University,Washington State University,,2020-01-01,2020
